Variable_Name,Random_Forest,Chi_Square,Recursive_Feature_Elimination,L_One,Votes
pck_size,0.020635193169917528,36.52530382924464,15,0.0,1
Ether_type,2.214697164240505e-06,261992.46293508104,58,0.0,0
LLC_dsap,0.0,,61,0.0,0
LLC_ssap,4.720053212639304e-10,1.8,60,0.0,0
LLC_ctrl,0.0,315.0,57,0.0,0
EAPOL_version,0.0,14.199999999999996,56,0.0,0
EAPOL_type,4.44635445606542e-09,40.8,55,0.0,0
EAPOL_len,0.0,1450.3999999999996,52,0.0,0
IP_version,1.8732749040667662e-08,3.2454327745467273,41,0.0,0
IP_ihl,1.0828438228186561e-05,3.0241767232562897,49,0.0,0
IP_tos,0.00027327001534807843,4177.362305986696,28,0.0,0
IP_len,0.018426076539062395,138.47634298144902,14,0.0,1
IP_flags,0.0004782440915580723,5.8143658550691555,38,0.0,0
IP_Z,0.0,,51,0.0,0
IP_MF,0.0,,76,0.0,0
IP_id,0.03838942250586647,3172316.469538904,7,0.0,1
IP_DF,0.0005477977961308364,11.31404958677686,32,0.0,0
IP_frag,0.0,,73,0.0,0
IP_ttl,0.0019278467676678973,7519.596532177393,26,0.0,0
IP_proto,0.0013240047228587888,821.072070470965,35,0.0,0
IP_options,3.251846300680531e-08,20.799999999999997,70,0.0,0
ICMP_type,0.0,33.199999999999996,50,0.0,0
ICMP_code,0.0,1.2,77,0.0,0
ICMP_chksum,0.00019217473798349775,122701.39999999998,64,0.0,0
ICMP_id,7.182902511612371e-07,79898.4,53,0.0,0
ICMP_seq,0.0,4.6,78,0.0,0
ICMP_ts_ori,0.0,,62,0.0,0
ICMP_ts_rx,0.0,,66,0.0,0
ICMP_ts_tx,0.0,,63,0.0,0
ICMP_ptr,0.0,,71,0.0,0
ICMP_reserved,0.0,,79,0.0,0
ICMP_length,0.0,,81,0.0,0
ICMP_nexthopmtu,0.0,,82,0.0,0
TCP_seq,0.047311072872024726,334651253206.12134,6,0.0,2
TCP_ack,0.04559614986254903,450371932240.2479,4,0.0,2
TCP_dataofs,0.053923056196812556,2639.65897080218,12,0.0,1
TCP_reserved,0.0,,87,0.0,0
TCP_flags,0.014252243583514866,414.9679022240036,19,0.0,1
TCP_FIN,0.0044771258322491205,285.940594059406,21,0.0,0
TCP_SYN,0.0028403029039894678,102.7446654611212,25,0.0,0
TCP_RST,0.0003162961448088006,25.2,31,0.0,0
TCP_PSH,0.00459436548766994,366.83792486583195,23,0.0,0
TCP_ACK,0.011903181630677929,247.3563753007217,18,0.0,1
TCP_URG,0.0,,88,0.0,0
TCP_ECE,0.0,,90,0.0,0
TCP_CWR,0.0,,89,0.0,0
TCP_window,0.03714728562678579,730393.1791779599,10,0.0,1
TCP_chksum,0.03632984533393191,5107028.498569825,8,0.0,1
TCP_urgptr,0.0,,59,0.0,0
TCP_options,0.0023388999351071477,145.83815028901734,27,0.0,0
UDP_len,0.006992048533213397,56649.25787546663,22,0.0,0
UDP_chksum,0.001830699016518338,9129230.937609231,20,0.0,0
DHCP_options,6.430593434842859e-05,48.199999999999996,48,0.0,0
BOOTP_op,2.5756495660858303e-05,23.599999999999994,68,0.0,0
BOOTP_htype,5.6315946125425244e-05,20.799999999999997,46,0.0,0
BOOTP_hlen,6.806721570829676e-05,124.8,65,0.0,0
BOOTP_hops,0.0,,72,0.0,0
BOOTP_xid,8.009873957459278e-06,35253707219.4,54,0.0,1
BOOTP_secs,0.0,0.9999999999999998,74,0.0,0
BOOTP_flags,5.513130869747613e-05,0.6028683181225484,42,0.0,0
BOOTP_sname,5.5496878805430945e-05,20.799999999999997,37,0.0,0
BOOTP_file,9.174098260709087e-05,20.799999999999997,45,0.0,0
BOOTP_options,0.0005749897010565632,20.799999999999997,34,0.0,0
DNS_length,0.0,,69,0.0,0
DNS_id,1.6957517345990544e-05,299724.79999999993,43,0.0,0
DNS_qr,7.03490725825813e-05,70.87619047619047,36,0.0,0
DNS_opcode,0.0,,67,0.0,0
DNS_aa,0.0001482593953424246,72.87422680412368,33,0.0,0
DNS_tc,0.0,,80,0.0,0
DNS_rd,9.992870392579813e-07,45.0,44,0.0,0
DNS_ra,0.0,,84,0.0,0
DNS_z,0.0,,83,0.0,0
DNS_ad,0.0,,85,0.0,0
DNS_cd,0.0,,75,0.0,0
DNS_rcode,0.0,,86,0.0,0
DNS_qdcount,1.4629552193606353e-05,175.99999999999997,39,0.0,0
DNS_ancount,0.00022618318102417593,392.83239999999995,30,0.0,0
DNS_nscount,1.9291913206761563e-06,210.39999999999995,47,0.0,0
DNS_arcount,6.302567236911495e-06,5.4,40,0.0,0
sport_class,0.11203881914542346,2637.224651594921,5,0.0,1
dport_class,0.03545653042007277,2518.566121552355,9,0.0,1
sport_bare,0.07753330635297555,25975926.921977248,3,0.0,1
dport_bare,0.12726782260268127,104714496.751075,2,0.0,1
TCP_sport,0.08847181041691082,20751714.016456865,11,0.0,1
TCP_dport,0.14997158159665724,122343360.37073487,1,0.0,2
UDP_sport,0.003102123003072682,5230945.662446879,24,0.0,0
UDP_dport,0.0036620901926689964,1260301.1158367088,29,0.0,0
payload_bytes,0.01506535599597587,478.05824148058394,17,0.0,1
entropy,0.01808384929839468,149.87197552093005,13,0.0,1
Protocol,0.01580086597265185,0.15560887153020966,16,0.0,1
